Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"DEM18","OffPage","04_Locks","4","乐盒智能玩具","R101.2,R81.1","3610","280","7A","[2]"
"DEM18","OffPage","02_MAIN","2","乐盒智能玩具","D4.1","1520","370","2C","[4]"
"DEM11","OffPage","04_Locks","4","乐盒智能玩具","R113.1,R116.2","3610","210","7A","[2]"
"DEM11","OffPage","02_MAIN","2","乐盒智能玩具","D23.1","1520","300","2D","[4]"
"DEM2","OffPage","04_Locks","4","乐盒智能玩具","R28.1,R40.2","3610","120","7A","[2]"
"DEM2","OffPage","02_MAIN","2","乐盒智能玩具","D5.1","1520","210","2D","[4]"
"DEM13","OffPage","04_Locks","4","乐盒智能玩具","R114.1,R119.2","3610","230","7A","[2]"
"DEM13","OffPage","02_MAIN","2","乐盒智能玩具","D27.1","1520","320","2D","[4]"
"DEM4","OffPage","04_Locks","4","乐盒智能玩具","R34.1,R45.2","3610","140","7A","[2]"
"DEM4","OffPage","02_MAIN","2","乐盒智能玩具","D9.1","1520","230","2D","[4]"
"DEM29","OffPage","04_Locks","4","乐盒智能玩具","R170.1,R176.2","3610","390","7A","[2]"
"DEM29","OffPage","02_MAIN","2","乐盒智能玩具","D26.1","1520","480","2C","[4]"
"DEM15","OffPage","04_Locks","4","乐盒智能玩具","R110.1,R115.2","3610","250","7A","[2]"
"DEM15","OffPage","02_MAIN","2","乐盒智能玩具","D31.1","1520","340","2D","[4]"
"DEM6","OffPage","04_Locks","4","乐盒智能玩具","R30.1,R55.2","3610","160","7A","[2]"
"DEM6","OffPage","02_MAIN","2","乐盒智能玩具","D13.1","1520","250","2D","[4]"
"DEM48","OffPage","04_Locks","4","乐盒智能玩具","R267.1","3610","630","7A","[2]"
"DEM48","OffPage","02_MAIN","2","乐盒智能玩具","U1.88","1520","720","2C","[4]"
"DEM52","OffPage","04_Locks","4","乐盒智能玩具","R265.1","3610","670","7A","[2]"
"DEM52","OffPage","02_MAIN","2","乐盒智能玩具","U1.98","1520","760","2B","[4]"
"DEM17","OffPage","04_Locks","4","乐盒智能玩具","R111.1,R117.2","3610","270","7A","[2]"
"DEM17","OffPage","02_MAIN","2","乐盒智能玩具","D2.1","1520","360","2C","[4]"
"DEM9","OffPage","04_Locks","4","乐盒智能玩具","R62.1,R69.2","3610","190","7A","[2]"
"DEM9","OffPage","02_MAIN","2","乐盒智能玩具","D19.1","1520","280","2D","[4]"
"LOCK_SW","OffPage","05_Tracked motor","5","乐盒智能玩具","R268.2","1220","350","1C","[2]"
"LOCK_SW","OffPage","02_MAIN","2","乐盒智能玩具","U1.113","1810","170","1D","[5]"
"MOTOR_R1","OffPage","05_Tracked motor","5","乐盒智能玩具","U32.1","1220","330","1C","[2]"
"MOTOR_R1","OffPage","02_MAIN","2","乐盒智能玩具","U1.111","1810","150","1D","[5]"
"DEM12","OffPage","04_Locks","4","乐盒智能玩具","R83.1,R91.2","3610","220","7A","[2]"
"DEM12","OffPage","02_MAIN","2","乐盒智能玩具","D25.1","1520","310","2D","[4]"
"DEM21","OffPage","04_Locks","4","乐盒智能玩具","R172.1,R174.2","3610","310","7A","[2]"
"DEM21","OffPage","02_MAIN","2","乐盒智能玩具","D10.1","1520","400","2C","[4]"
"MOTOR_L1","OffPage","05_Tracked motor","5","乐盒智能玩具","U32.2","1220","340","1C","[2]"
"MOTOR_L1","OffPage","02_MAIN","2","乐盒智能玩具","U1.112","1810","160","1D","[5]"
"DEM14","OffPage","04_Locks","4","乐盒智能玩具","R107.2,R84.1","3610","240","7A","[2]"
"DEM14","OffPage","02_MAIN","2","乐盒智能玩具","D29.1","1520","330","2D","[4]"
"DEM23","OffPage","04_Locks","4","乐盒智能玩具","R173.1,R177.2","3610","330","7A","[2]"
"DEM23","OffPage","02_MAIN","2","乐盒智能玩具","D14.1","1520","420","2C","[4]"
"DEM16","OffPage","04_Locks","4","乐盒智能玩具","R79.1,R99.2","3610","260","7A","[2]"
"DEM16","OffPage","02_MAIN","2","乐盒智能玩具","D33.1","1520","350","2D","[4]"
"DEM25","OffPage","04_Locks","4","乐盒智能玩具","R168.1,R175.2","3610","350","7A","[2]"
"DEM25","OffPage","02_MAIN","2","乐盒智能玩具","D18.1","1520","440","2C","[4]"
"MOTOR34","OffPage","04_Locks","4","乐盒智能玩具","R203.1","3900","490","8A","[2]"
"MOTOR34","OffPage","02_MAIN","2","乐盒智能玩具","U1.50","1810","580","1C","[4]"
"MOTOR20","OffPage","04_Locks","4","乐盒智能玩具","R76.1","3900","300","8A","[2]"
"MOTOR20","OffPage","02_MAIN","2","乐盒智能玩具","U1.28","1810","390","1C","[4]"
"DEM27","OffPage","04_Locks","4","乐盒智能玩具","R169.1,R178.2","3610","370","7A","[2]"
"DEM27","OffPage","02_MAIN","2","乐盒智能玩具","D22.1","1520","460","2C","[4]"
"MOTOR36","OffPage","04_Locks","4","乐盒智能玩具","R201.1","3900","510","8A","[2]"
"MOTOR36","OffPage","02_MAIN","2","乐盒智能玩具","U1.56","1810","600","1C","[4]"
"DEM20","OffPage","04_Locks","4","乐盒智能玩具","R102.2,R82.1","3610","300","7A","[2]"
"DEM20","OffPage","02_MAIN","2","乐盒智能玩具","D8.1","1520","390","2C","[4]"
"MOTOR29","OffPage","04_Locks","4","乐盒智能玩具","R140.1","3900","390","8A","[2]"
"MOTOR29","OffPage","02_MAIN","2","乐盒智能玩具","U1.45","1810","480","1C","[4]"
"MOTOR38","OffPage","04_Locks","4","乐盒智能玩具","R202.1","3900","530","8A","[2]"
"MOTOR38","OffPage","02_MAIN","2","乐盒智能玩具","U1.60","1810","620","1C","[4]"
"MOTOR22","OffPage","04_Locks","4","乐盒智能玩具","R130.1","3900","320","8A","[2]"
"MOTOR22","OffPage","02_MAIN","2","乐盒智能玩具","U1.34","1810","410","1C","[4]"
"DEM31","OffPage","04_Locks","4","乐盒智能玩具","R171.1,R179.2","3610","410","7A","[2]"
"DEM31","OffPage","02_MAIN","2","乐盒智能玩具","D30.1","1520","500","2C","[4]"
"MOTOR40","OffPage","04_Locks","4","乐盒智能玩具","R198.1","3900","550","8A","[2]"
"MOTOR40","OffPage","02_MAIN","2","乐盒智能玩具","U1.66","1810","640","1C","[4]"
"DEM22","OffPage","04_Locks","4","乐盒智能玩具","R136.1,R147.2","3610","320","7A","[2]"
"DEM22","OffPage","02_MAIN","2","乐盒智能玩具","D12.1","1520","410","2C","[4]"
"DEM33","OffPage","04_Locks","4","乐盒智能玩具","R200.1","3610","480","7A","[2]"
"DEM33","OffPage","02_MAIN","2","乐盒智能玩具","U1.53","1520","570","2C","[4]"
"DEM34","OffPage","04_Locks","4","乐盒智能玩具","R227.1","3610","490","7A","[2]"
"DEM34","OffPage","02_MAIN","2","乐盒智能玩具","U1.54","1520","580","2C","[4]"
"MOTOR42","OffPage","04_Locks","4","乐盒智能玩具","R199.1","3900","570","8A","[2]"
"MOTOR42","OffPage","02_MAIN","2","乐盒智能玩具","U1.70","1810","660","1C","[4]"
"MOTOR24","OffPage","04_Locks","4","乐盒智能玩具","R129.1","3900","340","8A","[2]"
"MOTOR24","OffPage","02_MAIN","2","乐盒智能玩具","U1.40","1810","430","1C","[4]"
"DEM35","OffPage","04_Locks","4","乐盒智能玩具","R196.1","3610","500","7A","[2]"
"DEM35","OffPage","02_MAIN","2","乐盒智能玩具","U1.57","1520","590","2C","[4]"
"DEM36","OffPage","04_Locks","4","乐盒智能玩具","R225.1","3610","510","7A","[2]"
"DEM36","OffPage","02_MAIN","2","乐盒智能玩具","U1.58","1520","600","2C","[4]"
"MOTOR44","OffPage","04_Locks","4","乐盒智能玩具","R195.1","3900","590","8A","[2]"
"MOTOR44","OffPage","02_MAIN","2","乐盒智能玩具","U1.76","1810","680","1C","[4]"
"DEM24","OffPage","04_Locks","4","乐盒智能玩具","R137.1,R151.2","3610","340","7A","[2]"
"DEM24","OffPage","02_MAIN","2","乐盒智能玩具","D16.1","1520","430","2C","[4]"
"DEM37","OffPage","04_Locks","4","乐盒智能玩具","R197.1","3610","520","7A","[2]"
"DEM37","OffPage","02_MAIN","2","乐盒智能玩具","U1.63","1520","610","2C","[4]"
"MOTOR46","OffPage","04_Locks","4","乐盒智能玩具","R246.1","3900","610","8A","[2]"
"MOTOR46","OffPage","02_MAIN","2","乐盒智能玩具","U1.80","1810","700","1C","[4]"
"MOTOR26","OffPage","04_Locks","4","乐盒智能玩具","R127.1","3900","360","8A","[2]"
"MOTOR26","OffPage","02_MAIN","2","乐盒智能玩具","U1.42","1810","450","1C","[4]"
"DEM39","OffPage","04_Locks","4","乐盒智能玩具","R194.1","3610","540","7A","[2]"
"DEM39","OffPage","02_MAIN","2","乐盒智能玩具","U1.67","1520","630","2C","[4]"
"MOTOR48","OffPage","04_Locks","4","乐盒智能玩具","R247.1","3900","630","8A","[2]"
"MOTOR48","OffPage","02_MAIN","2","乐盒智能玩具","U1.86","1810","720","1C","[4]"
"DEM26","OffPage","04_Locks","4","乐盒智能玩具","R126.1,R155.2","3610","360","7A","[2]"
"DEM26","OffPage","02_MAIN","2","乐盒智能玩具","D20.1","1520","450","2C","[4]"
"DEM41","OffPage","04_Locks","4","乐盒智能玩具","R189.1","3610","560","7A","[2]"
"DEM41","OffPage","02_MAIN","2","乐盒智能玩具","U1.73","1520","650","2C","[4]"
"MOTOR50","OffPage","04_Locks","4","乐盒智能玩具","R244.1","3900","650","8A","[2]"
"MOTOR50","OffPage","02_MAIN","2","乐盒智能玩具","U1.90","1810","740","1B","[4]"
"MOTOR28","OffPage","04_Locks","4","乐盒智能玩具","R131.1","3900","380","8A","[2]"
"MOTOR28","OffPage","02_MAIN","2","乐盒智能玩具","U1.44","1810","470","1C","[4]"
"DEM43","OffPage","04_Locks","4","乐盒智能玩具","R188.1","3610","580","7A","[2]"
"DEM43","OffPage","02_MAIN","2","乐盒智能玩具","U1.77","1520","670","2C","[4]"
"DEM44","OffPage","04_Locks","4","乐盒智能玩具","R222.1","3610","590","7A","[2]"
"DEM44","OffPage","02_MAIN","2","乐盒智能玩具","U1.78","1520","680","2C","[4]"
"MOTOR52","OffPage","04_Locks","4","乐盒智能玩具","R245.1","3900","670","8A","[2]"
"MOTOR52","OffPage","02_MAIN","2","乐盒智能玩具","U1.96","1810","760","1B","[4]"
"DEM28","OffPage","04_Locks","4","乐盒智能玩具","R133.1,R157.2","3610","380","7A","[2]"
"DEM28","OffPage","02_MAIN","2","乐盒智能玩具","D24.1","1520","470","2C","[4]"
"DEM38","OffPage","04_Locks","4","乐盒智能玩具","R226.1","3610","530","7A","[2]"
"DEM38","OffPage","02_MAIN","2","乐盒智能玩具","U1.64","1520","620","2C","[4]"
"DEM45","OffPage","04_Locks","4","乐盒智能玩具","R242.1","3610","600","7A","[2]"
"DEM45","OffPage","02_MAIN","2","乐盒智能玩具","U1.81","1520","690","2C","[4]"
"DEM40","OffPage","04_Locks","4","乐盒智能玩具","R223.1","3610","550","7A","[2]"
"DEM40","OffPage","02_MAIN","2","乐盒智能玩具","U1.68","1520","640","2C","[4]"
"DEM46","OffPage","04_Locks","4","乐盒智能玩具","R266.1","3610","610","7A","[2]"
"DEM46","OffPage","02_MAIN","2","乐盒智能玩具","U1.82","1520","700","2C","[4]"
"MOTOR54","OffPage","04_Locks","4","乐盒智能玩具","R241.1","3900","690","8A","[2]"
"MOTOR54","OffPage","02_MAIN","2","乐盒智能玩具","U1.100","1810","780","1B","[4]"
"MOTOR30","OffPage","04_Locks","4","乐盒智能玩具","R132.1","3900","400","8A","[2]"
"MOTOR30","OffPage","02_MAIN","2","乐盒智能玩具","U1.46","1810","490","1C","[4]"
"DEM47","OffPage","04_Locks","4","乐盒智能玩具","R243.1","3610","620","7A","[2]"
"DEM47","OffPage","02_MAIN","2","乐盒智能玩具","U1.87","1520","710","2C","[4]"
"DEM30","OffPage","04_Locks","4","乐盒智能玩具","R134.1,R165.2","3610","400","7A","[2]"
"DEM30","OffPage","02_MAIN","2","乐盒智能玩具","D28.1","1520","490","2C","[4]"
"DEM50","OffPage","04_Locks","4","乐盒智能玩具","R264.1","3610","650","7A","[2]"
"DEM50","OffPage","02_MAIN","2","乐盒智能玩具","U1.92","1520","740","2B","[4]"
"MOTOR32","OffPage","04_Locks","4","乐盒智能玩具","R128.1","3900","420","8A","[2]"
"MOTOR32","OffPage","02_MAIN","2","乐盒智能玩具","U1.48","1810","510","1C","[4]"
"DEM53","OffPage","04_Locks","4","乐盒智能玩具","R237.1","3610","680","7A","[2]"
"DEM53","OffPage","02_MAIN","2","乐盒智能玩具","U1.103","1520","770","2B","[4]"
"DEM54","OffPage","04_Locks","4","乐盒智能玩具","R263.1","3610","690","7A","[2]"
"DEM54","OffPage","02_MAIN","2","乐盒智能玩具","U1.104","1520","780","2B","[4]"
"DEM32","OffPage","04_Locks","4","乐盒智能玩具","R135.1,R159.2","3610","420","7A","[2]"
"DEM32","OffPage","02_MAIN","2","乐盒智能玩具","D32.1","1520","510","2C","[4]"
"MOTOR10","OffPage","04_Locks","4","乐盒智能玩具","R26.1","3900","200","8A","[2]"
"MOTOR10","OffPage","02_MAIN","2","乐盒智能玩具","U1.13","1810","290","1D","[4]"
"MOTOR35","OffPage","04_Locks","4","乐盒智能玩具","R193.1","3900","500","8A","[2]"
"MOTOR35","OffPage","02_MAIN","2","乐盒智能玩具","U1.55","1810","590","1C","[4]"
"MOTOR39","OffPage","04_Locks","4","乐盒智能玩具","R187.1","3900","540","8A","[2]"
"MOTOR39","OffPage","02_MAIN","2","乐盒智能玩具","U1.65","1810","630","1C","[4]"
"MOTOR45","OffPage","04_Locks","4","乐盒智能玩具","R238.1","3900","600","8A","[2]"
"MOTOR45","OffPage","02_MAIN","2","乐盒智能玩具","U1.79","1810","690","1C","[4]"
